date,venue,venueCode,raceNo,first,second,third,winBoat,winPayout,place1Boat,place1Payout,place2Boat,place2Payout,place3Boat,place3Payout,exactaCombination,exactaPayout,trifectaCombination,trifectaPayout,quinellaCombination,quinellaPayout,trioCombination,trioPayout
2026-09-12,浜名湖,6,8,4,5,3,4,430,4,300,5,390,,,4-5,1650,4-5-3,8680,4=5,1370,3=4=5,3090
2026-09-12,浜名湖,6,9,3,1,4,3,160,3,100,1,100,,,3-1,380,3-1-4,1140,1=3,170,1=3=4,580
2026-09-12,浜名湖,6,10,1,2,6,1,290,1,110,2,130,,,1-2,300,1-2-6,1090,1=2,200,1=2=6,410
2026-09-12,浜名湖,6,11,1,2,4,1,130,1,100,2,290,,,1-2,700,1-2-4,2170,1=2,890,1=2=4,750
2026-09-12,浜名湖,6,12,1,2,3,1,110,1,110,2,200,,,1-2,230,1-2-3,1240,1=2,200,1=2=3,730
2026-09-12,常滑,8,1,1,2,5,1,120,1,110,2,250,,,1-2,310,1-2-5,760,1=2,270,1=2=5,450
2026-09-12,常滑,8,2,1,2,3,1,150,1,110,2,170,,,1-2,370,1-2-3,700,1=2,270,1=2=3,190
2026-09-12,常滑,8,3,5,6,1,5,160,5,120,6,190,,,5-6,700,5-6-1,1240,5=6,620,1=5=6,300
2026-09-12,常滑,8,4,1,2,5,1,150,1,120,2,190,,,1-2,470,1-2-5,710,1=2,470,1=2=5,270
2026-09-12,常滑,8,5,4,1,3,4,220,4,140,1,170,,,4-1,2240,4-1-3,13560,1=4,960,1=3=4,1090
2026-09-12,常滑,8,6,5,4,2,5,580,5,300,4,670,,,5-4,1870,5-4-2,13600,4=5,1010,2=4=5,2640
2026-09-12,常滑,8,7,2,1,3,2,1320,2,160,1,150,,,2-1,2350,2-1-3,4460,1=2,520,1=2=3,380
2026-09-12,常滑,8,8,2,1,5,2,270,2,120,1,240,,,2-1,2790,2-1-5,6750,1=2,1140,1=2=5,1230
2026-09-12,常滑,8,9,2,3,4,2,750,2,180,3,110,,,2-3,1690,2-3-4,3790,2=3,630,2=3=4,570
2026-09-12,常滑,8,10,1,2,4,1,100,1,100,2,120,,,1-2,180,1-2-4,670,1=2,170,1=2=4,580
2026-09-12,常滑,8,11,1,4,2,1,130,1,110,4,110,,,1-4,280,1-4-2,1280,1=4,150,1=2=4,490
2026-09-12,常滑,8,12,1,2,4,1,100,1,100,2,290,,,1-2,350,1-2-4,730,1=2,300,1=2=4,340
2026-09-12,津,9,1,1,2,3,1,110,1,100,2,130,,,1-2,280,1-2-3,660,1=2,280,1=2=3,420
2026-09-12,津,9,2,1,2,5,1,130,1,100,2,130,,,1-2,410,1-2-5,2510,1=2,420,1=2=5,1220
2026-09-12,津,9,3,2,3,6,2,150,2,140,3,250,,,2-3,450,2-3-6,1300,2=3,320,2=3=6,600
2026-09-12,津,9,4,1,4,3,1,150,1,110,4,130,,,1-4,650,1-4-3,5900,1=4,750,1=3=4,1450
2026-09-12,津,9,5,1,3,4,1,130,1,110,3,480,,,1-3,370,1-3-4,970,1=3,530,1=3=4,350
2026-09-12,津,9,6,3,2,6,3,360,3,210,2,180,,,3-2,1610,3-2-6,6230,2=3,1550,2=3=6,1960
2026-09-12,津,9,7,3,1,6,3,200,3,100,1,160,,,3-1,830,3-1-6,2940,1=3,310,1=3=6,440
2026-09-12,津,9,8,2,1,3,2,270,2,260,1,150,,,2-1,1150,2-1-3,3260,1=2,430,1=2=3,510
2026-09-12,津,9,9,1,3,5,1,110,1,100,3,170,,,1-3,730,1-3-5,2760,1=3,520,1=3=5,1350
2026-09-12,津,9,10,1,6,4,1,160,1,280,6,280,,,1-6,1370,1-6-4,5280,1=6,1180,1=4=6,1330
2026-09-12,津,9,11,5,6,3,5,4650,5,650,6,1230,,,5-6,11060,5-6-3,151470,5=6,3350,3=5=6,7300
2026-09-12,津,9,12,1,4,2,1,140,1,100,4,130,,,1-4,560,1-4-2,1940,1=4,500,1=2=4,540
2026-09-12,三国,10,1,2,1,3,2,1060,2,170,1,100,,,2-1,4180,2-1-3,12550,1=2,290,1=2=3,330
2026-09-12,三国,10,2,1,2,6,1,210,1,100,2,100,,,1-2,240,1-2-6,6160,1=2,150,1=2=6,1600
2026-09-12,三国,10,3,2,1,5,2,640,2,210,1,120,,,2-1,1970,2-1-5,12210,1=2,430,1=2=5,1370
2026-09-12,三国,10,4,1,4,3,1,110,1,100,4,140,,,1-4,310,1-4-3,820,1=4,240,1=3=4,320
2026-09-12,三国,10,5,1,6,4,1,120,1,100,6,190,,,1-6,580,1-6-4,3140,1=6,650,1=4=6,1210
2026-09-12,三国,10,6,2,5,4,2,240,2,150,5,190,,,2-5,2390,2-5-4,4350,2=5,1890,2=4=5,420
2026-09-12,三国,10,7,1,2,4,1,180,1,100,2,110,,,1-2,330,1-2-4,2430,1=2,250,1=2=4,1130
2026-09-12,三国,10,8,1,3,4,1,250,1,100,3,100,,,1-3,830,1-3-4,1670,1=3,640,1=3=4,440
2026-09-12,三国,10,9,1,3,4,1,170,1,100,3,100,,,1-3,370,1-3-4,1050,1=3,310,1=3=4,500
2026-09-12,三国,10,10,1,3,6,1,270,1,180,3,240,,,1-3,1260,1-3-6,5850,1=3,580,1=3=6,1810
2026-09-12,三国,10,11,1,4,3,1,160,1,100,4,200,,,1-4,1400,1-4-3,2450,1=4,910,1=3=4,310
2026-09-12,三国,10,12,1,3,4,1,130,1,100,3,250,,,1-3,380,1-3-4,1170,1=3,290,1=3=4,600
2026-09-12,住之江,12,1,1,3,4,1,180,1,130,3,220,,,1-3,330,1-3-4,790,1=3,380,1=3=4,310
2026-09-12,住之江,12,2,4,3,5,4,330,4,210,3,300,,,4-3,2330,4-3-5,5780,3=4,1070,3=4=5,680
2026-09-12,住之江,12,3,4,5,1,4,800,4,680,5,400,,,4-5,720,4-5-1,2430,4=5,620,1=4=5,640
2026-09-12,住之江,12,4,1,5,4,1,300,1,1940,5,2640,,,1-5,2530,1-5-4,18690,1=5,1400,1=4=5,3850
2026-09-12,住之江,12,5,1,5,3,1,100,1,100,5,480,,,1-5,1870,1-5-3,8500,1=5,1070,1=3=5,2100
2026-09-12,住之江,12,6,5,6,4,5,230,5,230,6,850,,,5-6,1210,5-6-4,6040,5=6,880,4=5=6,2350
2026-09-12,住之江,12,7,5,1,6,5,1180,5,370,1,110,,,5-1,7410,5-1-6,56920,1=5,1160,1=5=6,9930
2026-09-12,住之江,12,8,1,3,6,1,190,1,130,3,310,,,1-3,1320,1-3-6,8080,1=3,2180,1=3=6,3390
2026-09-12,住之江,12,9,2,1,4,2,230,2,100,1,100,,,2-1,360,2-1-4,730,1=2,190,1=2=4,180
2026-09-12,住之江,12,10,1,2,4,1,190,1,100,2,100,,,1-2,260,1-2-4,2110,1=2,170,1=2=4,870
2026-09-12,住之江,12,11,1,3,2,1,120,1,100,3,160,,,1-3,310,1-3-2,1300,1=3,260,1=2=3,500
2026-09-12,住之江,12,12,1,2,3,1,170,1,100,2,140,,,1-2,240,1-2-3,680,1=2,180,1=2=3,320
2026-09-12,児島,16,1,3,4,6,3,690,3,620,4,480,,,3-4,7120,3-4-6,42210,3=4,4150,3=4=6,6100
2026-09-12,児島,16,2,4,3,1,4,430,4,300,3,540,,,4-3,10440,4-3-1,20980,3=4,1850,1=3=4,1120
2026-09-12,児島,16,3,4,5,2,4,680,4,590,5,330,,,4-5,1620,4-5-2,3340,4=5,720,2=4=5,840
2026-09-12,児島,16,4,3,2,5,3,190,3,110,2,260,,,3-2,860,3-2-5,5300,2=3,590,2=3=5,2160
2026-09-12,児島,16,5,3,1,6,3,130,3,120,1,100,,,3-1,420,3-1-6,1820,1=3,180,1=3=6,550
2026-09-12,児島,16,6,1,6,4,1,130,1,100,6,260,,,1-6,850,1-6-4,3430,1=6,470,1=4=6,820
2026-09-12,児島,16,7,1,2,5,1,100,1,100,2,120,,,1-2,250,1-2-5,1070,1=2,160,1=2=5,620
2026-09-12,児島,16,8,1,2,4,1,130,1,120,2,150,,,1-2,260,1-2-4,2340,1=2,230,1=2=4,1380
2026-09-12,児島,16,9,4,1,3,4,1050,4,120,1,120,,,4-1,1380,4-1-3,14100,1=4,380,1=3=4,780
2026-09-12,児島,16,10,1,5,3,1,120,1,100,5,330,,,1-5,1240,1-5-3,3910,1=5,860,1=3=5,1000
2026-09-12,児島,16,11,1,4,3,1,190,1,100,4,320,,,1-4,680,1-4-3,2890,1=4,340,1=3=4,760
2026-09-12,児島,16,12,1,3,2,1,120,1,110,3,270,,,1-3,520,1-3-2,1360,1=3,540,1=2=3,340
2026-09-12,宮島,17,1,1,3,4,1,130,1,100,3,110,,,1-3,220,1-3-4,690,1=3,180,1=3=4,430
2026-09-12,宮島,17,2,1,4,5,1,100,1,140,4,370,,,1-4,410,1-4-5,1570,1=4,740,1=4=5,450
2026-09-12,宮島,17,3,3,2,4,3,510,3,380,2,230,,,3-2,2090,3-2-4,13940,2=3,750,2=3=4,4490
2026-09-12,宮島,17,4,5,4,6,5,1130,5,620,4,200,,,5-4,6860,5-4-6,22760,4=5,6460,4=5=6,1420
2026-09-12,宮島,17,5,3,2,6,3,1190,3,690,2,540,,,3-2,5410,3-2-6,24320,2=3,1710,2=3=6,4350
2026-09-12,宮島,17,6,1,2,3,1,130,1,100,2,410,,,1-2,430,1-2-3,3600,1=2,850,1=2=3,1520
2026-09-12,宮島,17,7,1,5,2,1,100,1,180,5,330,,,1-5,820,1-5-2,1500,1=5,600,1=2=5,370
2026-09-12,宮島,17,8,1,3,2,1,110,1,100,3,100,,,1-3,220,1-3-2,630,1=3,140,1=2=3,280
2026-09-12,宮島,17,9,4,3,2,4,560,4,160,3,270,,,4-3,1330,4-3-2,9060,3=4,640,2=3=4,1030
2026-09-12,宮島,17,10,1,2,3,1,120,1,100,2,170,,,1-2,330,1-2-3,600,1=2,320,1=2=3,380
2026-09-12,宮島,17,11,1,6,4,1,130,1,140,6,1270,,,1-6,540,1-6-4,4790,1=6,710,1=4=6,1970
2026-09-12,宮島,17,12,1,3,2,1,100,1,100,3,180,,,1-3,290,1-3-2,520,1=3,270,1=2=3,200
2026-09-12,徳山,18,1,1,2,4,1,100,1,100,2,300,,,1-2,350,1-2-4,1010,1=2,230,1=2=4,520
2026-09-12,徳山,18,2,2,4,1,2,700,2,120,4,260,,,2-4,6410,2-4-1,15950,2=4,3000,1=2=4,500
2026-09-12,徳山,18,3,1,3,6,1,130,1,150,3,190,,,1-3,500,1-3-6,4040,1=3,390,1=3=6,2560
2026-09-12,徳山,18,4,5,1,6,5,2610,5,190,1,100,,,5-1,3860,5-1-6,21320,1=5,810,1=5=6,3390
2026-09-12,徳山,18,5,1,4,5,1,190,1,120,4,250,,,1-4,910,1-4-5,4400,1=4,630,1=4=5,2670
2026-09-12,徳山,18,6,1,4,2,1,140,1,100,4,220,,,1-4,970,1-4-2,2570,1=4,990,1=2=4,610
2026-09-12,徳山,18,7,2,1,5,2,990,2,320,1,100,,,2-1,1690,2-1-5,5990,1=2,350,1=2=5,920
2026-09-12,徳山,18,8,1,2,6,1,200,1,110,2,100,,,1-2,390,1-2-6,2520,1=2,290,1=2=6,1410
2026-09-12,徳山,18,9,1,2,5,1,120,1,110,2,140,,,1-2,300,1-2-5,1060,1=2,340,1=2=5,710
2026-09-12,徳山,18,10,1,2,3,1,110,1,110,2,120,,,1-2,270,1-2-3,810,1=2,280,1=2=3,410
2026-09-12,徳山,18,11,1,2,3,1,120,1,130,2,140,,,1-2,270,1-2-3,770,1=2,220,1=2=3,410
2026-09-12,徳山,18,12,1,3,4,1,120,1,150,3,920,,,1-3,460,1-3-4,1140,1=3,430,1=3=4,430
2026-09-12,若松,20,1,2,1,6,2,480,2,160,1,110,,,2-1,470,2-1-6,1650,1=2,410,1=2=6,820
2026-09-12,若松,20,2,1,2,3,1,410,1,140,2,260,,,1-2,630,1-2-3,2780,1=2,880,1=2=3,800
2026-09-12,若松,20,3,5,2,3,5,250,5,170,2,260,,,5-2,1340,5-2-3,4840,2=5,1600,2=3=5,860
2026-09-12,若松,20,4,6,3,5,6,260,6,290,3,370,,,6-3,2810,6-3-5,9990,3=6,2400,3=5=6,2220
2026-09-12,若松,20,5,1,4,2,1,110,1,100,4,200,,,1-4,580,1-4-2,990,1=4,370,1=2=4,240
2026-09-12,若松,20,6,1,3,2,1,190,1,100,3,120,,,1-3,290,1-3-2,1350,1=3,210,1=2=3,450
2026-09-12,若松,20,7,1,3,5,1,110,1,100,3,120,,,1-3,260,1-3-5,490,1=3,160,1=3=5,240
2026-09-12,若松,20,8,1,3,2,1,150,1,100,3,160,,,1-3,410,1-3-2,680,1=3,630,1=2=3,180
2026-09-12,若松,20,9,1,2,4,1,110,1,100,2,150,,,1-2,160,1-2-4,620,1=2,160,1=2=4,460
2026-09-12,若松,20,10,1,2,4,1,140,1,100,2,480,,,1-2,1280,1-2-4,4400,1=2,800,1=2=4,1290
2026-09-12,若松,20,11,2,3,5,2,350,2,170,3,210,,,2-3,2290,2-3-5,10450,2=3,870,2=3=5,3170
2026-09-12,若松,20,12,1,2,4,1,130,1,100,2,230,,,1-2,480,1-2-4,1350,1=2,490,1=2=4,560
2026-09-12,芦屋,21,1,1,3,4,1,120,1,100,3,160,,,1-3,240,1-3-4,830,1=3,320,1=3=4,490
2026-09-12,芦屋,21,2,1,2,4,1,150,1,100,2,300,,,1-2,1390,1-2-4,2240,1=2,910,1=2=4,580
2026-09-12,芦屋,21,3,3,1,4,3,230,3,100,1,100,,,3-1,400,3-1-4,2270,1=3,190,1=3=4,910
2026-09-12,芦屋,21,4,1,3,2,1,140,1,100,3,140,,,1-3,160,1-3-2,980,1=3,110,1=2=3,610
2026-09-12,芦屋,21,5,1,5,2,1,110,1,100,5,250,,,1-5,690,1-5-2,3090,1=5,900,1=2=5,990
2026-09-12,芦屋,21,6,2,3,1,2,360,2,110,3,450,,,2-3,2210,2-3-1,6550,2=3,1230,1=2=3,1690
2026-09-12,芦屋,21,7,1,6,4,1,140,1,110,6,160,,,1-6,1150,1-6-4,4260,1=6,770,1=4=6,700
2026-09-12,芦屋,21,8,1,3,4,1,140,1,110,3,100,,,1-3,250,1-3-4,830,1=3,140,1=3=4,420
2026-09-12,芦屋,21,9,1,3,6,1,150,1,100,3,210,,,1-3,660,1-3-6,1490,1=3,710,1=3=6,510
2026-09-12,芦屋,21,10,1,3,2,1,140,1,110,3,840,,,1-3,1690,1-3-2,2560,1=3,1020,1=2=3,550
2026-09-12,芦屋,21,11,6,2,1,6,1100,6,420,2,250,,,6-2,4070,6-2-1,9080,2=6,2280,1=2=6,460
2026-09-12,芦屋,21,12,1,3,4,1,110,1,100,3,280,,,1-3,630,1-3-4,1590,1=3,1000,1=3=4,1020
2026-09-12,大村,24,1,4,1,2,4,390,4,220,1,130,,,4-1,1310,4-1-2,3220,1=4,450,1=2=4,450
2026-09-12,大村,24,2,5,2,4,5,1030,5,600,2,500,,,5-2,5510,5-2-4,58830,2=5,3380,2=4=5,4560
2026-09-12,大村,24,3,1,3,6,1,140,1,100,3,170,,,1-3,260,1-3-6,1970,1=3,250,1=3=6,1380
2026-09-12,大村,24,4,1,2,3,1,110,1,110,2,160,,,1-2,300,1-2-3,700,1=2,210,1=2=3,280
2026-09-12,大村,24,5,5,6,4,5,410,5,160,6,700,,,5-6,2950,5-6-4,14100,5=6,2270,4=5=6,3600
2026-09-12,大村,24,6,1,6,5,1,120,1,130,6,590,,,1-6,1100,1-6-5,4920,1=6,770,1=5=6,1410
2026-09-12,大村,24,7,1,3,4,1,130,1,110,3,250,,,1-3,250,1-3-4,590,1=3,180,1=3=4,380
2026-09-12,大村,24,8,1,4,2,1,140,1,110,4,220,,,1-4,400,1-4-2,990,1=4,280,1=2=4,330
2026-09-12,大村,24,9,3,2,4,3,630,3,150,2,380,,,3-2,2210,3-2-4,10980,2=3,1020,2=3=4,3210
2026-09-12,大村,24,10,1,3,4,1,150,1,100,3,170,,,1-3,330,1-3-4,1450,1=3,300,1=3=4,800
2026-09-12,大村,24,11,1,3,4,1,110,1,110,3,160,,,1-3,310,1-3-4,990,1=3,240,1=3=4,620
2026-09-12,大村,24,12,1,3,5,1,110,1,100,3,120,,,1-3,210,1-3-5,1000,1=3,180,1=3=5,720
